id,name,email,password,role,phone_number,location,address
1,Ghaliyati Nasyiah,968nurdiyantimaras@example.com,$2b$10$GS.6iWgFmuLQdopv6oThreYuk4iDJVl69dgv34BuBvRmZiDbZQWKK,consumer,+62-27-654-4357,"('37.58105', '29.26639', 'Serinhisar', 'TR', 'Europe/Istanbul')","Gang Sukajadi No. 283, Padang Sidempuan, DKI Jakarta 79285"
2,Ani Tarihoran,297cinthia62@example.org,$2b$10$VL2ey53zW6nKqg9v/KCEdutTNAqbGjUTC4EJel5sC42dd2ot/Wrw6,consumer,(096) 565-4620,"('36.82167', '128.63083', 'Eisen', 'KR', 'Asia/Seoul')","Gg. Kendalsari No. 80, Bukittinggi, Bengkulu 64921"
3,"drg. Talia Waskita, S.E.",99smandasari@example.org,$2b$10$79YwmqZ3IMthPzlmZWyV2uCTwX1bf6gL7RA1pvCtSviTd4Cvp/TZG,consumer,(090) 036 2707,"('49.41029', '38.15035', 'Svatove', 'UA', 'Europe/Zaporozhye')","Jalan Setiabudhi No. 47, Medan, JI 71551"
4,Malika Iswahyudi,103adikaralailasari@example.org,$2b$10$goBFIT3FgzrH79UEOfmd7uGKA6VpbxP3htk1w9cresd1pRpXDLqOu,consumer,(0720) 456 5779,"('36.92574', '14.72443', 'Ragusa', 'IT', 'Europe/Rome')","Jl. Lembong No. 02, Pangkalpinang, Sulawesi Utara 26224"
5,"Ir. Jinawi Sihombing, M.M.",157satyausada@example.net,$2b$10$fYIhquGCLJVGLBap6b6A3eqrq5ce9838PDGXTn4kZ.9wpzYWYNKNa,consumer,+62 (98) 039-5876,"('6.8485', '3.64633', 'Shagamu', 'NG', 'Africa/Lagos')","Jalan Moch. Toha No. 540, Denpasar, Sumatera Barat 19593"
6,"Tgk. Titin Latupono, S.H.",59arta78@example.net,$2b$10$B0MoenN/amx9igaU9h1dZ.bvdxCYGYc4AcAC9sGKctyolH.fCC992,consumer,+62 (0332) 972 6305,"('20.88197', '85.83334', 'Bhuban', 'IN', 'Asia/Kolkata')","Jalan Ahmad Yani No. 7, Salatiga, JI 56557"
7,"Zelaya Usamah, M.M.",678timbul54@example.org,$2b$10$MbDzxny2IwPJLETM7PV9EeGkjfx4C/izTIhGcIIKnwyXzMGxR/CZu,consumer,+62 (087) 024-9256,"('40.63316', '-74.13653', 'Port Richmond', 'US', 'America/New_York')","Gg. Kutisari Selatan No. 46, Tebingtinggi, YO 47490"
8,Ir. Mariadi Sitompul,722atma38@example.org,$2b$10$7.OFPnyjCzR5B.jObh7NCOLricNVgQEnc1tBrI0rZvARlHBSTjV.2,consumer,+62 (0035) 699-9954,"('43.48961', '-8.2194', 'Ferrol', 'ES', 'Europe/Madrid')","Jl. Yos Sudarso No. 57, Magelang, Papua Barat 19067"
9,Adikara Nurdiyanti,596qzulaika@example.com,$2b$10$BIFEm.BpC7JhEKp00Tjpbua1HlkEhXJU3628OqHjdR2l98ZJCndqm,consumer,+62-0643-499-0830,"('39.12074', '27.18052', 'Bergama', 'TR', 'Europe/Istanbul')","Jalan Jend. Sudirman No. 55, Parepare, JK 72488"
10,Xanana Rahmawati,803pranowoharto@example.com,$2b$10$iXakROMf9EnxeXDhBO37k.tA6OwkR9Od2uoTxrcEwpyA.0r1WpbYC,consumer,(088) 173-5260,"('50.8', '3.16667', 'Wevelgem', 'BE', 'Europe/Brussels')","Gang Suniaraja No. 991, Malang, Kalimantan Barat 26363"
