id,name,email,password,role,phone_number,location,address
1,Salwa Riyanti,ana31@example.org,$2b$10$7VuUvf5DA6s4RD8Vy79Zv.QPMLYdNhWI/6qw5fG7/E/mlLh0seYBq,consumer,(085) 857 9060,"('43.48961', '-8.2194', 'Ferrol', 'ES', 'Europe/Madrid')","Gang Gardujati No. 27, Mataram, Nusa Tenggara Barat 82106"
2,Sabar Laksmiwati,zelda01@example.com,$2b$10$MBMnwsZls7KM4b6B58EIJ.u9gV0Egz1IEf3E0XbKhUBP.zI/p8YC6,consumer,+62-024-732-2556,"('35.05266', '-78.87836', 'Fayetteville', 'US', 'America/New_York')","Gang Sukajadi No. 0, Serang, JI 27057"
3,Malik Rahmawati,msamosir@example.com,$2b$10$INHJjorr.EB7UUC7/N2l/eMnDPfYgU9puaGxkFEUAhMe.0CfsS4P.,consumer,+62 (66) 703-8481,"('42.4251', '-71.06616', 'Malden', 'US', 'America/New_York')","Jalan Pelajar Pejuang No. 944, Tanjungpinang, Kalimantan Selatan 61565"
4,Drs. Jane Habibi,budiyantokairav@example.org,$2b$10$b8gMPEUK6WDRJegmliLSo.M.NlUHNtfOFu4R4bZIEGdSRuNzkwYzy,consumer,+62 (0771) 937 0479,"('22.75218', '72.68533', 'Kheda', 'IN', 'Asia/Kolkata')","Jalan Kendalsari No. 04, Bau-Bau, JA 66600"
5,Hj. Ani Uwais,tsaputra@example.net,$2b$10$Lw/bIyg2zDUVxYg6zg1rkeqD9H.GJkVrd4GJAJlfQLasvRtoJXz0.,consumer,+62 (992) 081-8376,"('8.43333', '99.96667', 'Nakhon Si Thammarat', 'TH', 'Asia/Bangkok')","Gang Raya Setiabudhi No. 8, Manado, KS 26678"
6,Eluh Pangestu,qrahimah@example.org,$2b$10$ywJyf5O0JOAh.lr45K3b7O5azvq78HrOLPWYmLMAogl.BcNbteyPG,consumer,(0415) 110-5624,"('14.46693', '75.92694', 'Davangere', 'IN', 'Asia/Kolkata')","Jl. Tebet Barat Dalam No. 2, Batam, BB 79668"
7,"Ilsa Firmansyah, M.M.",sitorusade@example.net,$2b$10$KygpVInbCWW.ON1ca087F.jZRQZ4d2PCTDHUvLUoezjNd3Qr6CLMK,consumer,+62-0485-337-9667,"('25.80565', '68.49143', 'Bhit Shah', 'PK', 'Asia/Karachi')","Jl. Gedebage Selatan No. 8, Salatiga, SN 34943"
8,KH. Galuh Simbolon,julia55@example.org,$2b$10$k56oPytUKWuElpXhjZdMVeiCb18vKDDdztV/Nq2.liWRmNn25vKr2,consumer,(0831) 024-9402,"('25.95533', '68.88871', 'Jhol', 'PK', 'Asia/Karachi')","Jalan Setiabudhi No. 35, Kota Administrasi Jakarta Utara, KR 69459"
9,R.M. Lukita Maheswara,adekuswoyo@example.com,$2b$10$873XYcvIhgIrXCU28QUcseheOF95Ee92vFlSFwwvG89wvn.6FZcH6,consumer,+62 (0991) 813 6938,"('25.87498', '86.59611', 'Saharsa', 'IN', 'Asia/Kolkata')","Jalan Pasirkoja No. 08, Kota Administrasi Jakarta Barat, Jawa Timur 74905"
10,Naradi Irawan,opan21@example.net,$2b$10$mkYbNDbxODqnnNctV7BOhe8NWRANKTZ2rDVxiGYPs23ZuvaZQ0Z0.,consumer,+62 (53) 359-2270,"('-4.16694', '-40.7475', 'Guaraciaba do Norte', 'BR', 'America/Fortaleza')","Gang Cikutra Timur No. 6, Gorontalo, SG 00783"
