id,name,email,password,role,phone_number,location,address
1,"Melinda Pradana, S.Pt",489prabowo80@example.net,$2b$10$fE59S9iz6AGgzxVFRSDtpOCU788.82oH2Cu/Tm1GeBp4RmBO.YRmG,consumer,(0125) 373-3267,"('49.738430', '13.373637', 'Plzeň', 'CZ', 'Europe/Prague')","Jl. Gedebage Selatan No. 5, Cilegon, Sulawesi Utara 15792"
2,Taufik Latupono,747dalimamaryati@example.com,$2b$10$5ktWb5OZ7m5Sb//k0078XOn/8lZwaW7ET6IUqRLUFzrDNWEhz0Kh.,consumer,(0896) 792-0141,"('19.32932', '-98.1664', 'Contla', 'MX', 'America/Mexico_City')","Jalan M.T Haryono No. 033, Singkawang, DI Yogyakarta 75167"
3,"Puji Pranowo, M.Kom.",880omar60@example.net,$2b$10$PnPQStVdG7tHgMJa87PJte39F68H08yg1UfVU3VLc4sdTCDWtqdMG,consumer,+62 (049) 890-6397,"('52.31333', '6.92917', 'Oldenzaal', 'NL', 'Europe/Amsterdam')","Jl. Erlangga No. 5, Kota Administrasi Jakarta Timur, KU 83874"
4,Drs. Wani Novitasari,705raihan55@example.com,$2b$10$BDFk6YcVnaLvQXEHCmVtKe7N7sPWh36p.0Exsduu4AF5KYPiBbMRu,consumer,+62 (027) 862-4284,"('47.4943', '-122.24092', 'Bryn Mawr-Skyway', 'US', 'America/Los_Angeles')","Gg. Sadang Serang No. 84, Bogor, SU 02782"
5,Faizah Adriansyah,577opalastri@example.org,$2b$10$fjMF2AGJ25BIZ.wlRNM/OuLRin.W7C.bGZ6HsMhJdjpDaI2Af3UE6,consumer,+62-080-904-9134,"('10.13361', '124.84472', 'Maasin', 'PH', 'Asia/Manila')","Jl. Kendalsari No. 0, Payakumbuh, BB 45793"
6,Intan Waskita,436saefullahbakiadi@example.net,$2b$10$jeJ9W4EQpSJiwVT7ci1w8.x2kH/w07hhpQlL1ma34RiLvj7xTA3ZK,consumer,+62 (0557) 305 1667,"('-33.88096', '151.07986', 'Strathfield', 'AU', 'Australia/Sydney')","Jl. Pasteur No. 53, Palembang, Sulawesi Tenggara 86216"
7,Cindy Suryono,72gandipranowo@example.net,$2b$10$1poYbPaOYej9N.1WyMaSs.5OR5yorcADqoCUFWnt8zaplapVhfIRW,consumer,+62-85-982-1199,"('8.88988', '-79.62603', 'Veracruz', 'PA', 'America/Panama')","Gang Dipenogoro No. 270, Bontang, SG 53163"
8,Perkasa Budiman,810rajasasidiq@example.com,$2b$10$N8wA7J9m0BIGtYicpay3GujD6kUm9T5FVgcjR7B3CQxc/9xzSISR2,consumer,+62 (011) 041-1577,"('-22.92306', '-53.13722', 'Loanda', 'BR', 'America/Sao_Paulo')","Gg. W.R. Supratman No. 16, Kotamobagu, MU 75810"
9,Yuliana Rajasa,357gamblang67@example.org,$2b$10$an.sxmjuGGn2R1F6Didyi.CHqzDRJU/5HbXktiwm443xJBaz9PZyK,consumer,(036) 398 6041,"('42.67164', '14.01481', 'Roseto degli Abruzzi', 'IT', 'Europe/Rome')","Jalan Setiabudhi No. 008, Bogor, NB 92218"
10,Clara Usamah,29jamalia78@example.net,$2b$10$4Yr20t5WOjyMnvEYjyli1uY8Kmf0EOS12X3vsqY5R.JTEaU6P/JCK,consumer,0853180186,"('53.00974', '-3.05814', 'Rhosllanerchrugog', 'GB', 'Europe/London')","Jl. Rajawali Timur No. 983, Kota Administrasi Jakarta Timur, Jawa Barat 68776"
