id,name,email,password,role,phone_number,address
1,"Viktor Novitasari, S.Kom",788syahrini08@example.net,$2b$10$nmL8QBhr0Sh2ok9k.xjQiezg2B2R8B0XKNLYUTdDLW.liUK/NfzZy,consumer,+62 (0331) 819-6649,"Gang Cihampelas No. 5, Bengkulu, Gorontalo 41454"
2,Dasa Widodo,295reksaastuti@example.com,$2b$10$Qle2dNbv9wofDsTuSAMIF.qhlYqMDoGGLCyoT5R9/rbQMzu90D/gW,consumer,+62-0138-443-5540,"Jalan Peta No. 80, Magelang, Bali 31863"
3,Puti Ira Prakasa,442wibowolutfan@example.org,$2b$10$wKTT/4grI4pQtCGud2/.huWyiDedBWQMb5/i4YsaeLhOXQfwwkITi,consumer,+62-28-379-5468,"Jalan Jayawijaya No. 983, Sawahlunto, BB 29181"
4,Digdaya Mahendra,949puspasaritaufik@example.org,$2b$10$JHaLkpfu0RFQIX9P9pSQLu9EoU3LcdpOAT9reM.EmDN./f2HYuDBK,consumer,+62-90-386-9417,"Jalan Waringin No. 7, Kendari, SG 74605"
5,"Tgk. Ade Wahyudin, S.Gz",723utama79@example.com,$2b$10$ScNBB9O.xzndffGTxbPA7OcZNSa1.uTZGNyMSZWkktXL2pkCUAim.,consumer,+62 (014) 042 6302,"Gang Abdul Muis No. 734, Ambon, LA 30956"
6,Indra Maulana,173jaryani@example.org,$2b$10$ghop9MLh/ztH6/TVQkW5p.nuLX6ffxleM7vp.3eoZYjagP7KK4Dyi,consumer,087 993 8021,"Jalan Otto Iskandardinata No. 9, Tangerang, Sumatera Selatan 25464"
7,"Zaenab Yuliarti, S.I.Kom",106dono20@example.com,$2b$10$/WSziOBiDw1OwtiJcToSJe4ERHZvXJuMFEBp3hfpi4KiOu2jdqpiy,consumer,+62 (076) 632-8768,"Jalan Sukajadi No. 37, Lubuklinggau, GO 44580"
8,Ade Rajasa,704maryantohasanah@example.org,$2b$10$/biAp5KFBTcCiHIGZcHICOzdwDUr2r1S/bps4cUVW14LmBkI30QVS,consumer,+62 (540) 630 2598,"Jalan Merdeka No. 0, Gorontalo, Kalimantan Barat 43381"
9,"Ciaobella Jailani, S.Pd",433jarwiuyainah@example.net,$2b$10$oHdxF26RABH4huiqCHMVe.7OUh1XAZHN0BPoiGnESdEe4vNO5XgO2,consumer,(022) 104-8621,"Gg. Jamika No. 32, Tebingtinggi, Papua Barat 47869"
10,"Puti Eka Sihotang, S.Gz",447purnawatibakti@example.com,$2b$10$xD.w4rfRqh.KaUCvFaK1teeWq8H/nSUzxxXRug53rMI97WXwlRdEy,consumer,+62 (057) 798 7047,"Jalan Sukajadi No. 5, Makassar, GO 58349"
11,Cakrabirawa Wibisono,460gangsa85@example.net,$2b$10$vkoxDFT4K7zGrhYK.Ev46.98OaJukhJdPmZtS2R255RyQolNkPG7O,consumer,(034) 138 7029,"Gg. Cihampelas No. 218, Gorontalo, KI 12334"
12,Kartika Hutagalung,675gaduhhalimah@example.net,$2b$10$EYESphKCnThRTEsqOoVG3OsywWrz8zzDfzjSclnCDXmHWkz9zZQny,consumer,+62-095-250-5447,"Jalan Pacuan Kuda No. 60, Bogor, DI Yogyakarta 58090"
13,"Hendra Widodo, S.H.",182safitrimursita@example.org,$2b$10$EYFrg8lNv/HC7MqivQmkUO0Qex8oqHkYzA28HNPpl9wqIQAxOCs2u,consumer,+62 (56) 785-2707,"Gang Rajiman No. 664, Palopo, SU 64840"
14,Gamanto Siregar,293hasanlaksmiwati@example.com,$2b$10$sbyCTItzH4n.loSReDd2Lu7rryIPyQmot759XZ/WkID/MyN.EWMyi,consumer,(011) 722-9841,"Gg. Waringin No. 00, Blitar, Lampung 17304"
15,"Virman Damanik, S.I.Kom",778luluh46@example.com,$2b$10$N/j44DGHcIgghyxYcTPm2.3rKdcpVNP2TDm4hM.lt.YHXKpjhq9k2,consumer,+62-162-191-1500,"Gang Abdul Muis No. 940, Cilegon, PB 34586"
16,Jati Sudiati,649uyainahrangga@example.org,$2b$10$VheLq5URGpholla.qNCgneDzCgO6s7PAwLnNwpn4u/yv91LaE955i,consumer,+62 (343) 445 2953,"Gang Kutisari Selatan No. 6, Kota Administrasi Jakarta Barat, SN 82720"
17,Ega Puspasari,42kusmawaticahyanto@example.net,$2b$10$lI79DjynFrteJB0skHoOxuHUnHOBte7dRqNcX8dUcGRg4coYItnOu,consumer,0808889366,"Jalan Antapani Lama No. 76, Kupang, JK 21261"
18,Wulan Yuliarti,791eja95@example.net,$2b$10$.5XEsQXz2/WzpNCm71IB..hIkPjgcIsfS5xNY04LS9iLrrdZeVNw6,consumer,+62-413-726-2735,"Jalan Moch. Toha No. 579, Jambi, SN 97726"
